title,industry,link
Microsoft helps Robert Walters create a modern workplace for a mobile workforce,,https://www.microsoft.com/en/customers/story/1414272576302528226-robertwalters
"Microsoft Azure Blob Storage provides flexible, economical storage for GE Healthcare’s medical imaging team",,https://www.microsoft.com/en/customers/story/1419851076011931732-ge-healthcare-health-provider-azure
"ERA Arqueologia manages projects, clients, and sales via the Microsoft cloud",,https://www.microsoft.com/en/customers/story/1421628795895272320-myPartner-ERA-microsoftcloud
Design Offices optimizes business processes and supports rapid growth with Dynamics 365,,https://www.microsoft.com/en/customers/story/1421822995521523423-design-offices-professional-services-dynamics-365
"Accela uses Microsoft Azure to help build and deliver its suite of modern, digital government services solutions",,https://www.microsoft.com/en/customers/story/1422315529492624529-accela-partner-professional-services-azure
Sumitomo supports diverse working styles and increases productivity with Surface devices and Windows Autopilot,,https://www.microsoft.com/en/customers/story/1422603787361605873-sumitomo-corporation-other-surface
Connecting to care: NHS Wales delivers healthcare innovation with the help of Microsoft 365,,https://www.microsoft.com/en/customers/story/1394078620569603702-nhs-wales-health-provider-m365
Eneco: fighting the climate crisis through smarter use of data,,https://www.microsoft.com/en/customers/story/1403930839102127358-eneco-energy-dynamics-365-en-netherlands
Calgary Counselling Centre’s rapid Microsoft Teams deployment delivers highly effective mental health care,,https://www.microsoft.com/en/customers/story/1440120688299074865-calgary-counselling-teams-canada
"GlaxoSmithKline enhances workplace resiliency, device management with Microsoft Endpoint Manager",,https://www.microsoft.com/en/customers/story/1448381711442947468-glaxosmithkline-pharmaceuticals-microsoft-endpoint-manager
"AccountabilIT reduces authentication friction for employees, increases market value with Azure Lighthouse",,https://www.microsoft.com/en/customers/story/1450512191075125804-accountabilit-professional-services-microsoft-lighthouse
"udaan accelerates its unicorn journey with Azure SQL Database, saves on infrastructure costs",,https://www.microsoft.com/en/customers/story/1452353468630817356-udaan-retailers-azure-sql-database
Japanese trading house takes advantage of SAP S/4HANA conversion to move to Azure,,https://www.microsoft.com/en/customers/story/1429422796087119817-inabata-partner-professional-services-azure-site-recovery
Collectius improves customer experience and productivity and supports growth through Dynamics 365 and Microsoft Power Pages,,https://www.microsoft.com/en/customers/story/1430031245545227119-collectius-microsoft-power-apps-en-philippines
“My Workplace” at Pöppelmann: Bringing the comfort and convenience of personal tech devices to the world of work with Microsoft 365,,https://www.microsoft.com/en/customers/story/1430463759840151268-poeppelmann-glueckanja-microsoft365-dynamics365-en
North Carolina Plant Sciences Initiative accelerates agricultural research with Azure and IoT,,https://www.microsoft.com/en/customers/story/1434573042027519248-ncsu-higher-education-azure-en-united-states
"Quorum bases its Cyber One solution on Microsoft Sentinel, easing and lifting security for customers like CountPlus",,https://www.microsoft.com/en/customers/story/1435310687711059601-countplus-professional-services-security
Ukraine’s Raiffeisen Bank Aval reshapes 2.5 million customers’ experience with Microsoft cloud solutions,,https://www.microsoft.com/en/customers/story/1346302367331746749-raiffeisen-bank-aval-banking-microsoft-365-en-ukraine
Kraft Heinz connects to its mission—and to its customers—with Microsoft Teams,,https://www.microsoft.com/en/customers/story/1369708912113613550-kraft-heinz-consumer-goods-microsoft365-en-united-states
Transformation to serve the community,,https://www.microsoft.com/en/customers/story/1372235251529486250-southend-on-sea
University of North Carolina at Charlotte uses Azure PaaS to bootstrap an EV charging solution,,https://www.microsoft.com/en/customers/story/1374046673401312344-university-of-north-carolina-at-charlotte-higher-education-azure-en-united-states
"Leading Slovenian insurer, Zavarovalnica Triglav, shifts 2,200 staff to Microsoft 365 Enterprise Voice in Teams",,https://www.microsoft.com/en/customers/story/1377224719811636297-zavarovalnica-triglav-insurance-microsoft-365-en-slovenia
"Mechanical moles, digitally tweaked: TRACTO uses telemetry data in Azure to offer customers real advantages",,https://www.microsoft.com/en/customers/story/1490037227462866519-tracto-azure-en
Calgary Counselling Centre’s rapid Microsoft Teams deployment delivers highly effective mental health care,,https://www.microsoft.com/en/customers/story/1440120688299074865-calgary-counselling-teams-canada
"GlaxoSmithKline enhances workplace resiliency, device management with Microsoft Endpoint Manager",,https://www.microsoft.com/en/customers/story/1448381711442947468-glaxosmithkline-pharmaceuticals-microsoft-endpoint-manager
"AccountabilIT reduces authentication friction for employees, increases market value with Azure Lighthouse",,https://www.microsoft.com/en/customers/story/1450512191075125804-accountabilit-professional-services-microsoft-lighthouse
"udaan accelerates its unicorn journey with Azure SQL Database, saves on infrastructure costs",,https://www.microsoft.com/en/customers/story/1452353468630817356-udaan-retailers-azure-sql-database
Slovakian banking leader Slovenská sporiteľňa empowers staff and clients with Microsoft 365,,https://www.microsoft.com/en/customers/story/1459394875888164889-slovenska-sporitelna-banking-capital-markets-microsoft-365-en-slovakia
Menzies Aviation empowers frontline staff with Microsoft Teams,,https://www.microsoft.com/en/customers/story/1461038994969165320-menziesaviation
